Tony Hawk's Underground 2: Remix,TRUE,1,TRUE,Sports,Activision,TRUE,83,0.49,14.95,Sony PSP,T,TRUE,2005,23.45
The Sims 2,TRUE,1,TRUE,SimulationStrategy,EA,TRUE,65,0.46,14.95,Sony PSP,T,TRUE,2005,55.93333333
WipEout Pure,TRUE,1,TRUE,ActionRacing / Driving,Sony,TRUE,88,0.45,12.95,Sony PSP,E,TRUE,2005,9.516666667
NBA Live 06,TRUE,1,TRUE,Sports,EA,TRUE,80,0.42,9.95,Sony PSP,E,TRUE,2005,4
WWE Smackdown vs. Raw 2006,TRUE,4,TRUE,ActionSports,THQ,TRUE,81,0.38,14.95,Sony PSP,T,TRUE,2005,19.5
Dead or Alive 4,TRUE,4,TRUE,Action,,TRUE,85,0.38,17.95,X360,E,TRUE,2005,27.38333333
Phoenix Wright: Ace Attorney,TRUE,1,TRUE,AdventureSimulation,Capcom,TRUE,81,0.38,24.95,Nintendo DS,E,TRUE,2005,19.68333333
Spider-Man 2,TRUE,1,TRUE,Action,Activision,TRUE,67,0.38,14.95,Sony PSP,M,TRUE,2005,13.25
NFL Street 2,TRUE,4,TRUE,Sports,EA,TRUE,73,0.37,17.95,Sony PSP,T,TRUE,2005,0
Kirby: Canvas Curse,TRUE,1,TRUE,Action,Nintendo,TRUE,86,0.37,17.95,Nintendo DS,T,TRUE,2005,7.4
Battlefield 2: Modern Combat,TRUE,4,TRUE,Action,EA,TRUE,77,0.36,16.95,X360,E,TRUE,2005,7.316666667
Yoshi Touch & Go,TRUE,1,TRUE,Action,Nintendo,TRUE,73,0.36,17.95,Nintendo DS,T,TRUE,2005,4.5
Tiger Woods PGA Tour 06,TRUE,4,TRUE,Sports,EA,TRUE,71,0.33,9.95,X360,T,TRUE,2005,0
Condemned: Criminal Origins,TRUE,1,TRUE,ActionAdventure,Sega,TRUE,81,0.33,14.95,X360,E,TRUE,2005,8.166666667
Peter Jackson's King Kong: The Official Game of...,TRUE,2,TRUE,Action,Ubisoft,TRUE,80,0.32,14.95,X360,T,TRUE,2005,6.966666667
Castlevania: Dawn of Sorrow,TRUE,1,TRUE,ActionRole-Playing (RPG),Konami,TRUE,89,0.31,17.95,Nintendo DS,T,TRUE,2005,16.03333333
SpongeBob SquarePants: The Yellow Avenger,TRUE,1,TRUE,Action,THQ,TRUE,67,0.31,13.95,Nintendo DS,E,TRUE,2005,11.85
Marvel Nemesis: Rise of the Imperfects ,TRUE,1,TRUE,Action,EA,TRUE,58,0.31,17.95,Sony PSP,T,TRUE,2005,5.033333333
Kameo: Elements of Power,TRUE,1,TRUE,Action,Microsoft,TRUE,79,0.31,11.95,X360,T,TRUE,2005,10.03333333
Advance Wars: Dual Strike,TRUE,1,TRUE,Strategy,Nintendo,TRUE,90,0.3,17.95,Nintendo DS,T,TRUE,2005,70.36666667
Trauma Center: Under the Knife,TRUE,1,TRUE,ActionSimulation,Nintendo,TRUE,81,0.3,15.95,Nintendo DS,T,TRUE,2005,8.75
Coded Arms,TRUE,1,TRUE,Action,Konami,TRUE,59,0.3,12.95,Sony PSP,M,TRUE,2005,7.066666667
NBA LIVE 06 ,TRUE,1,TRUE,Sports,EA,TRUE,64,0.29,4.95,X360,E,TRUE,2005,4
Tony Hawk's American Wasteland,TRUE,1,TRUE,Sports,Activision,TRUE,75,0.29,14.95,X360,E,TRUE,2005,12.88333333
Star Wars: Episode III - Revenge of the Sith,TRUE,1,TRUE,Action,Ubisoft,TRUE,73,0.28,16.95,Nintendo DS,E,TRUE,2005,5.1
Capcom Classics Collection Remixed,TRUE,1,TRUE,Action,Capcom,TRUE,72,0.28,17.95,Sony PSP,E,TRUE,2005,35.66666667
Madagascar,TRUE,1,TRUE,Adventure,Activision,TRUE,66,0.27,14.95,Nintendo DS,E,TRUE,2005,6.683333333
X-Men: Legends II - Rise of Apocalypse,TRUE,1,TRUE,ActionRole-Playing (RPG),Activision,TRUE,84,0.27,17.95,Sony PSP,M,TRUE,2005,22.33333333
Quake 4,TRUE,1,TRUE,Action,Activision,TRUE,75,0.27,14.95,X360,E,TRUE,2005,9.133333333
Pokemon Trozei!,TRUE,1,TRUE,Strategy,Nintendo,TRUE,74,0.26,19.95,Nintendo DS,E,TRUE,2005,3.233333333
Need for Speed: Most Wanted,TRUE,1,TRUE,Racing / Driving,EA,TRUE,45,0.25,15.95,Nintendo DS,E,TRUE,2005,14.6
Mega Man Maverick Hunter X,TRUE,1,TRUE,Action,Capcom,TRUE,79,0.25,17.95,Sony PSP,E,TRUE,2005,6.766666667
Metroid Prime Pinball,TRUE,1,TRUE,ActionSimulation,Nintendo,TRUE,79,0.22,17.95,Nintendo DS,E,TRUE,2005,5.566666667
NBA 06,TRUE,1,TRUE,Sports,Sony,TRUE,72,0.22,9.95,Sony PSP,E,TRUE,2005,4
GUN ,TRUE,1,TRUE,ActionRacing / DrivingRole-Playing (RPG),Activision,TRUE,75,0.22,19.95,X360,E,TRUE,2005,8.85
NBA 2K6 ,TRUE,1,TRUE,Sports,2K,TRUE,81,0.22,4.95,X360,E,TRUE,2005,0.6166666667
Pinball Hall of Fame: The Gottlieb Collection,TRUE,4,TRUE,Action,,TRUE,73,0.21,9.95,Sony PSP,T,TRUE,2005,0
Harry Potter and the Goblet of Fire,TRUE,1,TRUE,Action,EA,TRUE,68,0.21,17.95,Nintendo DS,T,TRUE,2005,10.53333333
Tony Hawk's American Sk8land,TRUE,1,TRUE,Sports,Activision,TRUE,84,0.21,16.95,Nintendo DS,E,TRUE,2005,18.8
MVP Baseball,TRUE,1,TRUE,Sports,EA,TRUE,67,0.21,4.95,Sony PSP,M,TRUE,2005,0
Tiger Woods PGA Tour,TRUE,1,TRUE,Sports,EA,TRUE,78,0.21,17.95,Sony PSP,E,TRUE,2005,0
World Series of Poker,TRUE,1,TRUE,SportsStrategy,Activision,TRUE,37,0.21,14.95,Sony PSP,E,TRUE,2005,0
SSX on Tour,TRUE,1,TRUE,Sports,EA,TRUE,79,0.2,16.95,Sony PSP,E,TRUE,2005,15.5
Tiger Woods PGA Tour 06,TRUE,1,TRUE,Sports,EA,TRUE,80,0.2,9.95,Sony PSP,T,TRUE,2005,0
Death Jr.,TRUE,1,TRUE,Action,Konami,TRUE,61,0.19,9.95,Sony PSP,M,TRUE,2005,3.533333333
Harry Potter and the Goblet of Fire,TRUE,1,TRUE,Action,EA,TRUE,70,0.19,17.95,Sony PSP,T,TRUE,2005,10.53333333
MediEvil Resurrection,TRUE,1,TRUE,Action,Sony,TRUE,66,0.19,17.95,Sony PSP,T,TRUE,2005,9.6
