Mobile Suit Gundam: The Origin,Manga,112,Finished,Jun 25 2001 to Jun 26 2014,Action / Drama / Mecha / Sci-Fi / Shounen / Space / Military,Yasuhiko Yoshikazu (Story & Art)  Tomino Yoshiyuki (Story),Gundam Ace,8.57,86,1387,2031
Shimanami Tasogare,Manga,23,Finished,Mar 6 2015 to May 23 2018,Drama / Slice of Life / Psychological / Seinen,Kamatani Yuhki (Story & Art),HiBaNa,8.57,87,389,8496
Banana Fish,Manga,110,Finished,Apr 13 1985 to Mar 12 1994,Action / Adventure / Drama / Shoujo,Yoshida Akimi (Story & Art),Betsucomi,8.56,88,538,4855
A Bride's Story,Manga,Ongoing,Publishing,Oct 14 2008 to ?,Drama / Historical / Romance / Seinen,Mori Kaoru (Story & Art),Harta,8.56,89,189,11010
Monthly Girls' Nozaki-kun,Manga,Ongoing,Publishing,Aug 25 2011 to ?,Comedy / Romance / School,Tsubaki Izumi (Story & Art),Gangan Online,8.56,90,137,16559
Spirit Circle,Manga,45,Finished,May 30 2012 to Mar 30 2016,Action / Adventure / Comedy / Drama / Romance / Supernatural / Seinen,Mizukami Satoshi (Story & Art),Young King OURs,8.56,91,364,11254
Mushoku Tensei: Jobless Reincarnation,Novel,Ongoing,Publishing,Jan 23 2014 to ?,Fantasy,Rifujin na Magonote (Story)  Sirotaka (Art),None,8.56,92,379,8133
Ouran High School Host Club,Manga,87,Finished,Jul 24 2002 to Sep 24 2010,Comedy / Drama / Romance / School / Shoujo / Harem / Gender Bender,Hatori Bisco (Story & Art),LaLa,8.55,93,53,47720
Wake Up Sleeping Beauty,Manga,26,Finished,Nov 22 2014 to May 24 2017,Romance / Shoujo,Morino Megumi (Story & Art),Dessert,8.55,94,1051,3421
Tokyo Ghoul,Manga,144,Finished,Sep 8 2011 to Sep 18 2014,Action / Mystery / Drama / Horror / Supernatural / Psychological / Seinen,Ishida Sui (Story & Art),Young Jump,8.55,95,5,153706
Neon Genesis Evangelion,Manga,97,Finished,Dec 26 1994 to Jun 4 2013,Action / Mystery / Drama / Mecha / Sci-Fi / Shounen / Psychological,Sadamoto Yoshiyuki (Story & Art),Shounen Ace,8.54,96,108,29627
Legend of the Galactic Heroes,Novel,94,Finished,Nov 1982 to Nov 1987,Action / Adventure / Drama / Sci-Fi / Space / Military,Tanaka Yoshiki (Story)  Kato Naoyuki (Art)  Kamoshita Yukihisa (Art),None,8.54,97,2358,1209
The Breaker,Manhwa,72,Finished,Jun 1 2007 to Jul 20 2010,Action / Comedy / Drama / Martial Arts / School,Park Jin-Hwan (Art)  Jeon Geuk-jin (Story),Young Champ,8.54,98,41,53636
Gintama,Manga,709,Finished,Dec 8 2003 to Jun 20 2019,Action / Comedy / Historical / Parody / Samurai / Sci-Fi / Shounen,Sorachi Hideaki (Story & Art),Shounen Jump (Weekly),8.53,99,103,28922
Phoenix,Manga,19,Finished,Jan 1967 to Feb 1988,Drama / Fantasy / Historical / Romance / Sci-Fi / Shounen / Space / Supernatural / Psychological,Tezuka Osamu (Story & Art),Manga Shounen,8.53,100,900,2374
